,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
68,4.2,Very Good,438.0,3.0,Near Bangalore Airport,Kempegowda Airport,8000.0,3510,421.0
69,3.4,Good,91.0,4.0,Outer Ring Road,MG Road,2150.0,2194,539.0
70,3.3,Good,627.0,4.0,Electronic City,MG Road,2150.0,1999,642.0
71,3.9,Very Good,1341.0,4.0,Whitefield,MG Road,2150.0,2264,306.0
72,4.1,Very Good,1016.0,4.0,Residency Road,MG Road,2100.0,5330,1247.0
73,4.2,Very Good,47.0,3.0,Near Bangalore Airport,Kempegowda Airport,5000.0,1692,360.0
74,3.8,Very Good,613.0,4.0,Koramangala,MG Road,2150.0,2759,755.0
75,4.5,Excellent,584.0,5.0,Palace road,Bangalore Palace,1900.0,13500,767.53125
76,4.6,Excellent,213.0,5.0,Tirumanahalli,MG Road,2150.0,11000,767.53125
77,4.1,Very Good,526.0,4.0,Whitefield,MG Road,2150.0,3999,767.53125
78,3.9,Very Good,883.0,4.0,Rajajinagar,MG Road,2150.0,5400,767.53125
79,4.3,Excellent,662.0,5.0,Whitefield,MG Road,2150.0,6501,780.0
80,4.1,Very Good,79.0,3.0,Marathahalli,MG Road,2150.0,2820,660.0
81,3.5,Very Good,923.0,4.0,Shivaji Nagar,MG Road,2200.0,2848,342.0
82,3.6,Very Good,1024.0,3.0,HAL old airport road,MG Road,2150.0,2300,465.0
83,4.1,Very Good,732.0,5.0,HAL old airport road,MG Road,2150.0,6768,1368.0
84,4.3,Excellent,36.0,3.0,Hosur road,MG Road,2150.0,2799,767.53125
85,4.5,Excellent,1048.0,5.0,HAL old airport road,MG Road,2150.0,16500,767.53125
86,3.8,Very Good,319.0,4.0,Infantry Road,MG Road,1400.0,2098,554.0
87,3.9,Very Good,24.0,3.0,HSR Layout,MG Road,2150.0,5500,767.53125
88,3.7,Very Good,1552.0,3.0,Koramangala,MG Road,2150.0,2776,752.0
89,3.5,Very Good,468.0,3.0,Hebbal,MG Road,2150.0,2835,693.0
90,4.3,Excellent,285.0,4.0,Bilekahalli,MG Road,2150.0,2345,642.0
91,4.3,Excellent,849.0,5.0,Outer Ring Road,MG Road,2150.0,9500,767.53125
92,4.1,Very Good,874.0,3.0,Indiranagar,MG Road,2150.0,4300,767.53125
93,4.2,Very Good,875.0,4.0,Yeshwanthpur,MG Road,2150.0,3666,741.0
94,4.8,Excellent,302.0,5.0,Ganganagar,Palace Grounds,990.0,14875,767.53125
95,3.0,Good,348.0,3.0,Hosur road,MG Road,2150.0,1505,396.0
96,3.6,Very Good,139.0,4.0,Outer Ring Road,MG Road,2150.0,3977,804.0
97,4.3,Excellent,959.0,5.0,Whitefield,MG Road,2150.0,7500,767.53125
98,4.1,Very Good,1006.0,4.0,Richmond road,Cubbon Park,2500.0,4300,969.0
99,3.5,Very Good,712.0,3.0,Church Street,MG Road,94.0,1669,337.0
100,4.0,Very Good,221.0,3.0,Infantry Road,MG Road,1800.0,1865,569.0
